Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Limited,Blueprint,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB52RS000697,Lithia Toyota of Billings,MT
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB52RS000828,Little Apple Toyota,KS
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB52RS000926,Toyota of Morristown,NJ
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,True,,5TDACAB52RS000943,Toyota of Erie,PA
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB52RS000988,Larry Lassen Toyota,OR
2024,Limited,SILVER ME.,AWD,51060,0.0,51060.0,Factory to port,True,Available,5TDACAB52RS001025,Principle Toyota of Hernando,MS
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB52RS001039,Toyota of Gladstone,OR
2024,XLE,Midnight Black Metallic,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB52RS001042,Bob Smith Toyota,CA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB52RS001106,Toyota of Bozeman,MT
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB52RS001137,Lithia Toyota of Billings,MT
2024,Limited,Wind Chill Pearl,AWD,51060,4173.0,55233.0,Port to dealer,True,Available,5TDACAB52RS001154,AutoNation Toyota Irvine,CA
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,True,,5TDACAB52RS001185,Allegheny Toyota,PA
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,True,Available,5TDACAB52RS001199,Middletown Toyota,CT
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB52RS001221,Spitzer Toyota,PA
2024,Limited,DK. BLUE MC.,AWD,51060,0.0,51060.0,Factory to port,False,Available,5TDACAB52RS001252,Bruner Toyota,TX
2024,Limited,ATTITUDE BLACK MC.,AWD,51060,0.0,51060.0,Factory to port,False,Available,5TDACAB52RS001283,Keating Toyota,TX
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB52RS28C490,Team Toyota of Princeton,NJ
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB52RS28C845,Landers McLarty Toyota,TN
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB52RS30B734,Westbury Toyota,NY
2024,XLE,Celestial Silver Metallic,AWD,46270,7995.0,54265.0,Factory to port,False,,5TDACAB52RS30C866,Rodland Toyota,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB52RS30D614,Pauly Toyota,IL
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB52RS31C460,Toyota On Western,IL
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB52RS31C751,Kendall Toyota,OR
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB52RS31C989,Copeland Toyota,MA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB52RS31D916,Elgin Toyota,IL
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB52RS31E032,Route 22 Toyota,NJ
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB52RS31E077,Toyota of Santa Maria,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB52RS31E340,Toyota Chula Vista,CA
2024,XLE,Wind Chill Pearl,AWD,46270,1999.0,48269.0,Factory to port,False,,5TDACAB52RS31E483,Foothills Toyota,WA
2024,Limited,Blueprint,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB52RS32C423,Cedric Theel Toyota,ND
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB52RS32C499,Ardmore Toyota,PA
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB52RS32D068,City Toyota,MT
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB52RS32D135,Toyota San Luis Obispo,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB52RS32D233,Hillside Toyota,NY
2024,XLE,Midnight Black Metallic,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB52RS32E365,Toyota of Puyallup,WA
2024,XLE,Midnight Black Metallic,AWD,46270,395.0,46665.0,Factory to port,True,DealerHold,5TDACAB52RS32E544,Toyota of Olympia,WA
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB52RS33C529,Miller Toyota,VA
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB52RS33C899,Hesser Toyota,WI
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Factory to port,True,Available,5TDACAB52RS33D759,Fernelius Toyota,MI
2024,Limited,Blueprint,AWD,51060,0.0,51060.0,At dealer,False,,5TDACAB53RS000336,Toyota of Brookfield,WI
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,At dealer,False,DealerHold,5TDACAB53RS000577,Koons Westminster Toyota,MD
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,Available,5TDACAB53RS000580,Maguire Toyota,NY
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,Available,5TDACAB53RS000630,Toyota of Glendale,CA
2024,Limited,Blueprint,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB53RS000644,"Molle Toyota, Inc.",MO
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,Available,5TDACAB53RS000661,Adams Toyota Lee's Summit,MO
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB53RS000790,Butte Toyota,MT
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB53RS000806,Family Toyota of Arlington,TX
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB53RS000823,Stone's Town and Country Toyota,ID
2024,Limited,Storm Cloud,AWD,51060,5999.0,57059.0,Factory to port,False,Available,5TDACAB53RS000854,Ray Brandt Toyota,LA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB53RS000885,Five Star Toyota,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB53RS000921,Toyota of Vallejo,CA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB53RS000935,Chester Berg Toyota,MN
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB53RS000966,Quality Toyota of Independence,KS
2024,Limited,ATTITUDE BLACK MC.,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB53RS000997,Oakes Toyota,MS
2024,Limited,RUBY FLARE PEARL,AWD,51060,1695.0,52755.0,Factory to port,True,DealerHold,5TDACAB53RS001003,Shapen Toyota,TX
2024,XLE,Wind Chill Pearl,AWD,46270,1995.0,48265.0,At dealer,True,,5TDACAB53RS001017,Danville Toyota,VA
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB53RS001034,Motorworld Toyota,PA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB53RS001048,Della Toyota,NY
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,True,,5TDACAB53RS001051,Ken Nelson Toyota,IL
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB53RS001065,Tracy Toyota,CA
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB53RS001194,Toyota of Portsmouth,NH
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB53RS001261,Sunrise Toyota North,NY
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB53RS001308,Fort Wayne Toyota,IN
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,At dealer,False,DealerHold,5TDACAB53RS001311,Toyota of Muscatine,IA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB53RS28C188,Toyota of Boardman,OH
2024,XLE,Wind Chill Pearl,AWD,46270,1295.0,47565.0,Factory to port,False,,5TDACAB53RS30C150,Jimmy Vasser Toyota,CA
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB53RS30D072,Waite Toyota,NY
2024,XLE,Midnight Black Metallic,AWD,46270,798.0,47068.0,Factory to port,False,,5TDACAB53RS31C984,Toyota of Tacoma,WA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB53RS31C998,Dahl Toyota,MN
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB53RS31D102,Johnstons Toyota,NY
2024,Limited,Storm Cloud,AWD,51060,4966.0,56026.0,Factory to port,True,DealerHold,5TDACAB53RS31D195,Toyota of Turnersville,NJ
2024,XLE,Coastal Cream,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB53RS31D620,DCH Toyota of Torrance,CA
2024,XLE,Blueprint,AWD,46270,1999.0,48269.0,Factory to port,True,,5TDACAB53RS31D813,Foothills Toyota,WA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB53RS32C401,Modesto Toyota,CA
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB53RS32D273,Basil Toyota,NY
2024,Limited,Storm Cloud,AWD,51060,888.0,51948.0,Factory to port,False,,5TDACAB53RS32D984,Romeoville Toyota,IL
2024,Limited,Ruby Flare Pearl,AWD,51060,0.0,51060.0,Factory to port,True,DealerHold,5TDACAB53RS32E018,Kendall Toyota of Bend,OR
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB53RS32E228,Future Toyota of Yuba City,CA
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB53RS32E391,Doxon Toyota,WA
